品种,单位,菜篮子价,康瑞达价,日期,上传时间
中德8只直脚三黄鸡6%,1*9.5kg/箱,,14.6,2024-12-25,2024-12-26 23:08:37
温氏7只三黄鸡6%,1*9.5kg/箱,,16,2024-12-25,2024-12-26 23:08:37
鸿润100/120琵琶腿6%,1*10kg/箱,,18.9,2024-12-25,2024-12-26 23:08:37
六和100/120琵琶腿6%,1*10kg/箱,,18.9,2024-12-25,2024-12-26 23:08:37
九股河100/120琵琶腿6%,1*10kg/箱,,19.5,2024-12-25,2024-12-26 23:08:37
六和120/130琵琶腿6%,1*10kg/箱,,17.1,2024-12-25,2024-12-26 23:08:37
九股河120/140琵琶腿6%,1*10kg/箱,,17.9,2024-12-25,2024-12-26 23:08:37
鸿润130/150琵琶腿6%,1*10kg/箱,,16,2024-12-25,2024-12-26 23:08:37
鸿润150g上琵琶腿0%,1*10kg/箱,,13.6,2024-12-25,2024-12-26 23:08:37
九股河140/160琵琶腿6%,1*10kg/箱,,17.1,2024-12-25,2024-12-26 23:08:37
鸿润4条鸡全腿6%,1*10kg/箱,,20,2024-12-25,2024-12-26 23:08:37
九股河4条鸡全腿6%,1*9kg/箱,,20,2024-12-25,2024-12-26 23:08:37
九股河200/250排腿6%,1*10kg/箱,,18.8,2024-12-25,2024-12-26 23:08:37
六和5条鸡全腿6%,1*10kg/箱,,21.2,2024-12-25,2024-12-26 23:08:37
鸿润5条鸡全腿6%,1*10kg/箱,,22.7,2024-12-25,2024-12-26 23:08:37
九股河5条鸡全腿6%,1*10kg/箱,,22.7,2024-12-25,2024-12-26 23:08:37
九股河250/300排腿6%,1*8.4kg/箱,,17.4,2024-12-25,2024-12-26 23:08:37
